GR Number,Branch,Gender,Division,Height,Weight,CGPA,SGPA,Clubs
22010707,Computer Science,M,D,172cm,50kg,9.75,9.08,0
22010739,Computer Science,F,B,153,43,9.70,10,"Cec, rc bharatvarsh"
22010824,Computer Science,M,B,177cm,68kgs,9.70,9.8,1
22010364,Computer Science,M,A,165 cm,55 Kgs,10.00,9.71,0
22010300,Computer Science,F,A,167.64,60.5,10.00,10,1
22010477,Computer Science,M,B,169.0 cm,63kgs,10.00,9.93,1
22010744,Computer Science,F,A,156,44,10.00,9.96,0
22010465,Computer Science,M,B,178,52,9.91,10,1
22011171,Computer Science,F,C,161.5 cm,42.6 kgs,9.72,9.82,3
22010362,Computer Science,F,B,163,43,9.80,10,None 
22010087,Computer Science,F,C,157.48cm,65kg,9.70,9.6,Non
22010051,Computer Science,M,C,172,65,9.70,9.83,0
22010366,Computer Science,F,B,160.02 cm,38,9.93,10,2
22010538,Computer Science,M,A,173.5,76.2,10.00,10,2
22010139,Computer Science,M,C,176,70,9.60,9.5,1
22010794,Computer Science,F,C,162 cm,60,10.00,9.5,1
22010227,Computer Science,M,C,178,65,9.50,9.8,0
22010403,Computer Science,M,B,170,60,9.88,9.82,1
22010882,Computer Science,M,C,168,65,9.70,9.65,1
22010384,Computer Science,M,C,165,52,9.40,9.13,EDC
22010316,Computer Science,F,B,156,65,10.00,10,NIL
22010305,Computer Science,M,C,180,70,9.65,9.45,0
22010096,Computer Science,M,C,173,98,9.65,9.42,Volleyball 
22010724,Computer Science,M,B,152,58,9.11,9.71,0
22010528,Computer Science,M,D,174.5,73.5,9.86,9.93,1
22010004,Computer Science,M,C,175cm,54 kg,9.56,9.75,1
22010065,Computer Science,M,B,185.00 cm,91.0 Kgs,8.10,8.4,0
22010236,Computer Science,M,B,175,63,9.81,9.81,NSS
22010072,Mechanical Engineering,M,B,181,85,8.90,8.o,2
22010870,Computer Science,M,B,181,100,9.50,9.4,0
22010961,Computer Science,M,B,181,75,10.00,10,4
22010618,Mechanical Engineering,M,B,164.59,41,9.29,9.39,1
22010802,Mechanical Engineering,M,B,173 cm,62kg,8.88,8.63,0
22010939,Computer Science,M,B,175,70.4,9.79,9.25,2
22010494,Computer Science,F,B,165,45.4,9.90,9.8,4
22010268,Mechanical Engineering,F,B,5.6,72,9.53,8.88,None 
22010493,Computer Science,M,B,176,55,10.00,9.82,0
22010440,Computer Science,M,B,179,65,9.70,9.6,6
22010035,Computer Science,M,B,183,77,9.30,7.5,  
22011187,Computer Science,M,B,175,80,9.60,9.5,0
22011161,Computer Science,F,B,170.68,58.40 Kgs,9.40,9.57,2
22010486,Computer Science,M,C,179.4 cm,50 kg,9.87,9.85,1
22010599,Computer Science,M,B,175.5,65.6,9.70,9.67,0
22010878,Computer Science,M,B,186,85,9.90,9.8,1
22010194,Computer Science,M,B,170,94,9.84,9.9,2
22010900,Computer Science,M,C,207.26 cm,60 Kgs,9.59,9.58,Zero
22010644,Mechanical Engineering,M,B,177,56,10.00,9.6,3
22010639,Computer Science,M,D,101.6,64,9.80,9.57,Cybercell VIIT 
22011205,Computer Science,M,C,174,70,9.80,9.9,2
22010849,Mechanical Engineering,M,B,168 cm,57.0 kg,8.60,8.2,Vishwaracers Baja
22011070,Computer Science,M,D,181,60,9.70,9.2,2
22010317,Computer Science,M,B,168cm,62.3kgs,9.65,9.45,Nil
22010402,Computer Science,M,B,184 cm,65kg,9.81,10,2
22010580,Computer Science,M,B,179,59,10.00,10,1
22010184,Computer Science,M,B,170,81,9.50,9.17,1
22120152,Computer Science,M,C,172,58,9.70,9.4,0
22010301,Computer Science,M,B,167,68,9.86,9.76,No
22010145,Computer Science,F,B,159,50,9.50,9.6,None
22120216,Mechanical Engineering,F,B,157cm,51,9.50,DSY,3
22120294,Mechanical Engineering,M,B,175 cm,70 cm,9.50,Direct second year student ,2
22120028,Computer Science,M,B,180cm,77,9.50,96.74%,None
22120021,Mechanical Engineering,M,B,185 cm,61kg,9.50,DSE STUDENT ,BRACT's Vishwakarma Institute of Information Technology 
22120086,Mechanical Engineering,F,B,169.05,44.5,9.50,Dse,2
22120048,Mechanical Engineering,M,B,183,85,9.50,DSE,1
22120065,Mechanical Engineering,M,B,176,47,9.50,DSE,1
22120112,Mechanical Engineering,F,B,157.9,44,9.50,Dse,Mesa
22120105,Mechanical Engineering,F,B,152,47,9.50,DSE,1
22010909,Computer Science,M,B,176,46,9.90,9.9,0
22010360,Computer Science,M,B,167,71,9.90,9.9,1
22120045,Mechanical Engineering,M,B,185,90,9.50,DSE,2
22120097,Mechanical Engineering,M,B,185,67,9.50,Dse,No
22011133,Computer Science,M,B,173.33 cm,62.5 kg,9.40,9.2,1
22120088,Mechanical Engineering,F,B,173,48,9.50,DSE,2
22120120,Mechanical Engineering,M,B,174,62,9.50,DSE student,1
22010851,Computer Science,M,B,166,52,9.93,9.79,0
22120273,Mechanical Engineering,M,B,172,52,9.50,.,1
22010752,Mechanical Engineering,M,B,170,78 kg,8.84,7.86,0
22011172,Computer Science,M,B,174.1,70.3,10.00,9.93,0
22010766,Computer Science,M,B,173.34 cm,65.5 kgs,9.50,8.96,2
22011040,Computer Science,M,B,172,48,8.30,8.1,0
22010047,Computer Science,M,B,173,69,9.60,9.84,3
22010439,Computer Science,M,B,164 CM,55,9.71,9.57,1 ( Rotaract Club of VIIT) 
22010860,Computer Science,M,B,180.3,60,9.73,9.54,1
22010406,Computer Science,M,A,155,49.7,9.70,125/150,1
22010254,Computer Science,F,B,156 cm,57 kg,9.56,9.65,0
22010381,Computer Science,M,A,173.1,90,9.90,9.9,1
22010333,Computer Science,M,A,177.8 cm,85.3 kgs,9.90,9.9,1
22010295,Computer Science,F,B,160cm,67Kgs,9.22,9.46,0
22010435,Computer Science,F,B,153,67,9.79,9.38,0
22010845,Computer Science,M,C,184,74,10.00,10,3
22010722,Computer Science,M,B,172.27,66.7,9.80,9.79,One
22010428,Computer Science,M,B,172,70.5,9.30,9.3,0
22010532,Computer Science,M,B,167.6,67.5,9.80,9.5,1
22010741,Computer Science,M,B,177 cm,70,9.75,9.34,0
22010011,Computer Science,M,C,164 cm,50.8 Kgs,9.60,9.8,2
